District,Neighborhood,Num_Of_Room,Area,Age,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Floor_basement,Floor_first floor,Floor_interstage,Floor_top floor,Heat_type_Kombi,Heat_type_Merkezi,Heat_type_Merkezi (Pay Ölçer),Usage_Boş,Usage_Kiracılı,Usage_Mülk Sahibi,Price
Çankaya,Eti,4,130.0,31,7,1,0,1,0,0,1,0,1,0,0,0,0,1,3450000
Sincan,Akşemsettin,4,125.0,21,4,1,0,1,0,0,1,0,1,0,0,0,0,1,1259000
Çankaya,Mürsel Uluç,4,130.0,17,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1875000
Çankaya,Birlik,6,300.0,22,3,1,0,3,0,0,0,1,1,0,0,0,1,0,3600000
Çankaya,Keklik Pınarı,5,180.0,4,4,1,0,2,0,0,1,0,1,0,0,1,0,0,2550000
Keçiören,Karakaya,3,100.0,6,4,1,0,1,0,1,0,0,1,0,0,0,0,1,1079000
Çankaya,Cevizlidere,4,150.0,17,4,1,0,2,0,0,1,0,1,0,0,1,0,0,3000000
Çankaya,Ata,4,150.0,15,4,1,0,1,0,0,1,0,1,0,0,0,0,1,3000000
Pursaklar,Merkez,4,130.0,18,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1519000
Çankaya,Naci Çakır,4,120.0,25,4,1,0,1,0,0,1,0,0,1,0,0,0,1,2175000
Etimesgut,Bağlıca,3,102.0,2,14,1,0,2,0,0,1,0,0,0,1,0,1,0,3050000
Etimesgut,Bağlıca,4,178.0,4,12,1,0,2,0,0,1,0,0,0,1,0,1,0,4849000
Etimesgut,Bağlıca,4,170.0,10,6,1,0,2,0,0,1,0,1,0,0,1,0,0,3179000
Etimesgut,Bağlıca,4,130.0,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1743000
Pursaklar,Mimar Sinan,5,185.0,1,13,1,0,2,0,0,1,0,1,0,0,1,0,0,2850000
Pursaklar,Fatih,5,200.0,4,16,1,0,2,0,0,1,0,0,1,0,0,0,1,3600000
Çankaya,İlkadım,4,125.0,26,3,1,0,2,1,0,0,0,1,0,0,1,0,0,2650000
Etimesgut,Topçu,4,110.0,15,5,1,0,1,0,1,0,0,1,0,0,1,0,0,1000000
Keçiören,İncirli,4,120.0,22,4,1,0,1,0,1,0,0,1,0,0,1,0,0,1375000
Keçiören,Sancaktepe,5,180.0,6,5,1,0,2,0,0,1,0,1,0,0,0,0,1,3095000
Keçiören,Ufuktepe,3,130.0,5,2,1,0,1,0,1,0,0,1,0,0,1,0,0,888000
Keçiören,Yükseltepe,4,140.0,4,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1849000
Çankaya,Metin Akkuş,4,110.0,22,2,1,0,1,1,0,0,0,1,0,0,1,0,0,1235000
Çankaya,Seyranbağları,4,110.0,25,4,1,0,1,0,0,1,0,1,0,0,1,0,0,2150000
Mamak,Fahri Korutürk,4,170.0,5,11,1,0,2,0,0,1,0,1,0,0,1,0,0,2350000
Pursaklar,Merkez,4,150.0,8,8,1,0,2,0,0,1,0,0,0,1,1,0,0,2295000
Mamak,Başak,5,140.0,7,3,1,0,2,0,0,1,0,1,0,0,0,0,1,1385000
Çankaya,Osman Temiz,4,135.0,16,3,1,0,2,0,1,0,0,1,0,0,1,0,0,2490000
Etimesgut,Ahi Mesut,5,175.0,4,10,1,0,2,0,0,1,0,0,0,1,0,0,1,3350000
Etimesgut,Bağlıca,8,210.0,5,8,1,0,2,0,0,1,0,0,0,1,1,0,0,4250000
Mamak,Mutlu,4,130.0,11,3,1,0,2,0,0,1,0,1,0,0,0,0,1,1730000
Çankaya,Şehit Cevdet Özdemir,3,100.0,28,2,1,0,1,1,0,0,0,1,0,0,0,1,0,875000
